ChargingStation;Unit;Value;MinLevelValue;MaxLevelValue;StartHour;EndHour
CBR-00016;charge;0.2964;0;NA;NA;NA
CBR-00016;min;0.105;0;NA;NA;NA
CBR-00017;charge;0.2964;0;NA;NA;NA
CBR-00017;min;0.105;0;NA;NA;NA
CBR-00018;charge;0.3;0;NA;NA;NA
CBR-00018;min;0.02;0;NA;NA;NA
CBR-00019;min;0.08;0;NA;NA;NA
CBR-00025;charge;0.2964;0;NA;NA;NA
CBR-00025;min;0.03;0;NA;NA;NA
CBR-00026;charge;0.2964;0;NA;NA;NA
CBR-00026;kWh;0.07;0;NA;NA;NA
CBR-00027;charge;0.2964;0;NA;NA;NA
CBR-00027;kWh;0.07;0;NA;NA;NA
CBR-00028;charge;0.2964;0;NA;NA;NA
CBR-00028;kWh;0.07;0;NA;NA;NA
CBR-00029;charge;0.2964;0;NA;NA;NA
CBR-00029;kWh;0.07;0;NA;NA;NA
CBR-00030;charge;0.2964;0;NA;NA;NA
CBR-00030;kWh;0.07;0;NA;NA;NA
CBR-00031;charge;0.2964;0;NA;NA;NA
CBR-00031;kWh;0.07;0;NA;NA;NA
CBR-00032;charge;0.3;0;NA;NA;NA
CBR-00032;min;0.035;0;NA;NA;NA
CBR-00033;charge;0.3;0;NA;NA;NA
CBR-00033;min;0.125;0;NA;NA;NA
CBR-00034;charge;0.297;0;NA;NA;NA
CBR-00034;kWh;0.06;0;NA;NA;NA
CBR-00034;min;0.01;0;NA;NA;NA
CBR-00035;charge;0.297;0;NA;NA;NA
CBR-00035;kWh;0.06;0;NA;NA;NA
CBR-00035;min;0.01;0;NA;NA;NA
CBR-00036;charge;0.3;0;NA;NA;NA
CBR-00036;min;0.05;0;NA;NA;NA
CBR-00037;charge;0.2964;0;NA;NA;NA
CBR-00037;min;0.035;0;NA;NA;NA
CBR-00038;charge;0.297;0;NA;NA;NA
CBR-00038;min;0.03;0;NA;NA;NA
CBR-00039;charge;0.2964;0;NA;NA;NA
CBR-00039;min;0.105;0;NA;NA;NA
CBR-00040;charge;0.2964;0;NA;NA;NA
CBR-00040;min;0.035;0;NA;NA;NA
CBR-00041;charge;0.3;0;NA;NA;NA
CBR-00041;min;0.035;0;NA;NA;NA
CBR-00042;charge;0.3;0;NA;NA;NA
CBR-00042;min;0.035;0;NA;NA;NA
CBR-00043;charge;0.2964;0;NA;NA;NA
CBR-00043;min;0.11;0;NA;NA;NA
CBR-00044;charge;0.2964;0;NA;NA;NA
CBR-00044;min;0.055;0;NA;NA;NA
CBR-00045;charge;0.2964;0;NA;NA;NA
CBR-00045;min;0.025;0;NA;NA;NA
CBR-00046;charge;0.2964;0;NA;NA;NA
CBR-00046;min;0.025;0;NA;NA;NA
CBR-00047;charge;0.2964;0;NA;NA;NA
CBR-00047;min;0.025;0;NA;NA;NA
CBR-00048;charge;0.2964;0;NA;NA;NA
CBR-00048;min;0.025;0;NA;NA;NA
CBR-00049;charge;0.2964;0;NA;NA;NA
CBR-00049;min;0.025;0;NA;NA;NA
CBR-00050;charge;0.2964;0;NA;NA;NA
CBR-00050;min;0.025;0;NA;NA;NA
CBR-00054;charge;0.296;0;NA;NA;NA
CBR-00054;kWh;0.209;0;NA;NA;NA
CBR-00054;min;0.035;0;NA;NA;NA
CBR-90001;min;0.006;0;NA;NA;NA
CBR-90002;min;0.011;0;NA;NA;NA
CBR-90003;min;0.0037;0;NA;NA;NA
CBR-90004;min;0.009;0;NA;NA;NA
CBR-90005;min;0.006;0;NA;NA;NA
CBR-90006;min;0.0046;0;NA;NA;NA
CBR-90007;min;0.018;0;NA;NA;NA
CBR-90008;min;0.0037;0;NA;NA;NA
CBR-90009;min;0.007;0;NA;NA;NA
CBT-90001;min;0.02;0;NA;NA;NA
CCH-90001;min;0.02;0;NA;NA;NA
CDN-90001;min;0.02;0;NA;NA;NA
CDR-90001;min;0.029;0;NA;NA;NA
CDV-90001;min;0.029;0;NA;NA;NA
CHM-00002;charge;0.2964;0;NA;NA;NA
CHM-00002;min;0.105;0;NA;NA;NA
CHM-00003;charge;0.2964;0;NA;NA;NA
CHM-00003;min;0.105;0;NA;NA;NA
CHM-90001;min;0.029;0;NA;NA;NA
CHT-00001;charge;0.2964;0;NA;NA;NA
CHT-00001;min;0.0735;0;NA;NA;NA
CHV-00002;charge;0.2964;0;NA;NA;NA
CHV-00002;min;0.035;0;NA;NA;NA
CHV-00003;min;0.08;0;NA;NA;NA
CHV-00004;charge;0.3;0;NA;NA;NA
CHV-00004;min;0.05;0;NA;NA;NA
CHV-00005;charge;0.3;0;NA;NA;NA
CHV-00005;kWh;0.09;0;NA;NA;NA
CHV-00005;min;0.08;0;NA;NA;NA
CHV-00006;charge;0.3;0;NA;NA;NA
CHV-00006;min;0.035;0;NA;NA;NA
CHV-00007;charge;0.3;0;NA;NA;NA
CHV-00007;min;0.035;0;NA;NA;NA
CHV-00008;charge;0.3;0;NA;NA;NA
CHV-00008;min;0.035;0;NA;NA;NA
CHV-90001;min;0.02;0;NA;NA;NA
CLB-00001;charge;0.2964;0;NA;NA;NA
CLB-00001;min;0.105;0;NA;NA;NA
CLB-00002;charge;0.2964;0;NA;NA;NA
CLB-00002;min;0.105;0;NA;NA;NA
CLB-00004;charge;0.2964;0;NA;NA;NA
CLB-00004;kWh;0.06;0;NA;NA;NA
CLB-00005;charge;0.2964;0;NA;NA;NA
CLB-00005;kWh;0.06;0;NA;NA;NA
CLB-00006;charge;0.2964;0;NA;NA;NA
CLB-00006;kWh;0.06;0;NA;NA;NA
CLB-00007;charge;0.2964;0;NA;NA;NA
CLB-00007;min;0.09;0;NA;NA;NA
CLB-00008;charge;0.297;0;NA;NA;NA
CLB-00008;min;0.03;0;NA;NA;NA
CLB-90003;min;0.02;0;NA;NA;NA
CLD-00004;min;0;0;NA;NA;NA
CLD-00007;charge;0.3;0;NA;NA;NA
CLD-00007;min;0.03;0;NA;NA;NA
CLD-00009;charge;0.3;0;NA;NA;NA
CLD-00009;min;0.035;0;NA;NA;NA
CLD-00010;charge;0.3;0;NA;NA;NA
CLD-00010;min;0.035;0;NA;NA;NA
CLD-00011;charge;0.2964;0;NA;NA;NA
CLD-00011;min;0.1;0;NA;NA;NA
CLD-00012;charge;0.2964;0;NA;NA;NA
CLD-00012;min;0.03;0;NA;NA;NA
CLD-00013;charge;0.297;0;NA;NA;NA
CLD-00013;min;0.09;0;NA;NA;NA
CLD-00014;charge;0.297;0;NA;NA;NA
CLD-00014;min;0.06;0;NA;NA;NA
CLD-90001;min;0.012;0;NA;NA;NA
CLD-90002;min;0.025;0;NA;NA;NA
CLD-90003;min;0.007;0;NA;NA;NA
CLD-90005;min;0.012;0;NA;NA;NA
CLD-90008;min;0.025;0;NA;NA;NA
CLT-00003;min;0.04;0;NA;NA;NA
CLT-00004;charge;0.3;0;NA;NA;NA
CLT-00004;min;0.04;0;NA;NA;NA
CLT-00005;min;0.04;0;NA;NA;NA
CLT-00006;min;0.04;0;NA;NA;NA
CMCS-00001;kWh;0.1;0;NA;NA;NA
CML-00059;charge;0.3;0;NA;NA;NA
CML-00059;min;0.04;0;NA;NA;NA
CMN-00002;charge;0.3;0;NA;NA;NA
CMN-00002;kWh;0.09;0;NA;NA;NA
CMN-00002;min;0.08;0;NA;NA;NA
CMN-00003;charge;0.3;0;NA;NA;NA
CMN-00003;kWh;0.09;0;NA;NA;NA
CMN-00003;min;0.08;0;NA;NA;NA
CMR-90001;min;0.02;0;NA;NA;NA
CMRRC-00001;min;0.05;0;NA;NA;NA
CMRRC-00002;min;0.05;0;NA;NA;NA
CNF-90001;min;0.025;0;NA;NA;NA
CNS-00002;charge;0.297;0;NA;NA;NA
CNS-00002;min;0.12;0;NA;NA;NA
CNS-90001;min;0.02;0;NA;NA;NA
CNT-00002;charge;0.5;0;NA;NA;NA
CNT-00002;min;0.1;0;NA;NA;NA
CNT-00005;charge;0.3;0;NA;NA;NA
CNT-00005;min;0.035;0;NA;NA;NA
CNT-00006;charge;0.3;0;NA;NA;NA
CNT-00006;min;0.035;0;NA;NA;NA
CNT-00007;charge;0.297;0;NA;NA;NA
CNT-00007;kWh;0.1;0;NA;NA;NA
CNT-00007;min;0.15;0;NA;NA;NA
CNT-00008;charge;0.297;0;NA;NA;NA
CNT-00008;kWh;0.1;0;NA;NA;NA
CNT-00008;min;0.15;0;NA;NA;NA
CNT-00010;charge;0.297;0;NA;NA;NA
CNT-00010;kWh;0.08;0;NA;NA;NA
CNT-00010;min;0.11;0;NA;NA;NA
CNT-00011;charge;0.297;0;NA;NA;NA
CNT-00011;kWh;0.08;0;NA;NA;NA
CNT-00011;min;0.11;0;NA;NA;NA
CNT-90003;min;0.02;0;NA;NA;NA
CPR-90001;min;0.02;0;NA;NA;NA
CPV-90001;min;0.02;0;NA;NA;NA
CRS-90001;min;0.025;0;NA;NA;NA
CRT-00002;charge;0.297;0;NA;NA;NA
CRT-00002;kWh;0.06;0;NA;NA;NA
CRT-00002;min;0.01;0;NA;NA;NA
CRT-00003;charge;0.297;0;NA;NA;NA
CRT-00003;kWh;0.06;0;NA;NA;NA
CRT-00003;min;0.01;0;NA;NA;NA
CRT-90001;min;0.031;0;NA;NA;NA
CRV-00001;charge;0.1657;0;NA;NA;NA
CRV-00001;min;0.03;0;NA;NA;NA
CRZ-90001;min;0.025;0;NA;NA;NA
CSC-00005;min;0;0;NA;NA;NA
CSC-00011;min;0;0;NA;NA;NA
CSC-00015;charge;0.2964;0;NA;NA;NA
CSC-00015;min;0.052;0;NA;NA;NA
CSC-00016;charge;0.5;0;NA;NA;NA
CSC-00016;min;0.03;0;NA;NA;NA
CSC-00018;min;0.08;0;NA;NA;NA
CSC-00019;charge;0.3;0;NA;NA;NA
CSC-00019;min;0.1;0;NA;NA;NA
CSC-00021;charge;0.3;0;NA;NA;NA
CSC-00021;min;0.035;0;NA;NA;NA
CSC-00022;charge;0.2964;0;NA;NA;NA
CSC-00022;min;0.025;0;NA;NA;NA
CSC-00023;charge;0.2964;0;NA;NA;NA
CSC-00023;min;0.025;0;NA;NA;NA
CSC-00027;charge;0.297;0;NA;NA;NA
CSC-00027;min;0.09;0;NA;NA;NA
CSC-00040;charge;0.297;0;NA;NA;NA
CSC-00040;kWh;0.06;0;NA;NA;NA
CSC-00040;min;0.01;0;NA;NA;NA
CSC-00041;charge;0.297;0;NA;NA;NA
CSC-00041;kWh;0.06;0;NA;NA;NA
CSC-00041;min;0.01;0;NA;NA;NA
CSC-00042;charge;0.3;0;NA;NA;NA
CSC-00042;min;0.05;0;NA;NA;NA
CSC-00043;charge;0.297;0;NA;NA;NA
CSC-00043;kWh;0.06;0;NA;NA;NA
CSC-00043;min;0.01;0;NA;NA;NA
CSC-00044;charge;0.297;0;NA;NA;NA
CSC-00044;kWh;0.06;0;NA;NA;NA
CSC-00044;min;0.01;0;NA;NA;NA
CSC-00045;charge;0.2964;0;NA;NA;NA
CSC-00045;min;0.015;0;NA;NA;NA
CSC-00046;charge;0.2964;0;NA;NA;NA
CSC-00046;min;0.105;0;NA;NA;NA
CSC-00047;charge;0.2964;0;NA;NA;NA
CSC-00047;min;0.105;0;NA;NA;NA
CSC-00048;charge;0.3;0;NA;NA;NA
CSC-00048;min;0.035;0;NA;NA;NA
CSC-00049;charge;0.297;0;NA;NA;NA
CSC-00049;min;0.03;0;NA;NA;NA
CSC-00050;charge;0.297;0;NA;NA;NA
CSC-00050;min;0.03;0;NA;NA;NA
CSC-00051;charge;0.297;0;NA;NA;NA
CSC-00051;min;0.03;0;NA;NA;NA
CSC-00052;charge;0.297;0;NA;NA;NA
CSC-00052;min;0.03;0;NA;NA;NA
CSC-00053;charge;0.297;0;NA;NA;NA
CSC-00053;min;0.03;0;NA;NA;NA
CSC-00054;charge;0.297;0;NA;NA;NA
CSC-00054;min;0.03;0;NA;NA;NA
CSC-00055;charge;0.297;0;NA;NA;NA
CSC-00055;kWh;0.06;0;NA;NA;NA
CSC-00055;min;0.01;0;NA;NA;NA
CSC-00056;charge;0.297;0;NA;NA;NA
CSC-00056;kWh;0.06;0;NA;NA;NA
CSC-00056;min;0.01;0;NA;NA;NA
CSC-00057;charge;0.2964;0;NA;NA;NA
CSC-00057;min;0.01;0;NA;NA;NA
CSC-00058;charge;0.2964;0;NA;NA;NA
CSC-00058;min;0.01;0;NA;NA;NA
CSC-00059;charge;0.2964;0;NA;NA;NA
CSC-00059;min;0.105;0;NA;NA;NA
CSC-00060;charge;0.3;0;NA;NA;NA
CSC-00060;min;0.1;0;NA;NA;NA
CSC-00061;min;0.025;0;NA;NA;NA
CSC-00062;min;0.025;0;NA;NA;NA
CSC-00063;min;0.025;0;NA;NA;NA
CSC-00064;min;0.025;0;NA;NA;NA
CSC-00065;min;0.025;0;NA;NA;NA
CSC-00066;min;0.025;0;NA;NA;NA
CSC-00067;min;0.08;0;NA;NA;NA
CSC-00068;charge;0.2964;0;NA;NA;NA
CSC-00068;min;0.105;0;NA;NA;NA
CSC-00069;charge;0.2964;0;NA;NA;NA
CSC-00069;min;0.015;0;NA;NA;NA
CSC-00070;charge;0.297;0;NA;NA;NA
CSC-00070;min;0.12;0;NA;NA;NA
CSC-00071;charge;0.3;0;NA;NA;NA
CSC-00071;min;0.1;0;NA;NA;NA
CSC-00072;min;0.08;0;NA;NA;NA
CSC-00073;charge;0.2964;0;NA;NA;NA
CSC-00073;min;0.01;0;NA;NA;NA
CSC-00074;charge;0.39;0;NA;NA;NA
CSC-00074;min;0.019;0;NA;NA;NA
CSC-00075;charge;0.39;0;NA;NA;NA
CSC-00075;min;0.019;0;NA;NA;NA
CSC-00076;charge;0.297;0;NA;NA;NA
CSC-00076;min;0.06;0;NA;NA;NA
CSC-00077;charge;0.297;0;NA;NA;NA
CSC-00077;min;0.06;0;NA;NA;NA
CSC-00078;charge;0.297;0;NA;NA;NA
CSC-00078;min;0.06;0;NA;NA;NA
CSC-00081;charge;0.39;0;NA;NA;NA
CSC-00081;min;0.019;0;NA;NA;NA
CSC-00082;charge;0.3;0;NA;NA;NA
CSC-00082;min;0.08;0;NA;NA;NA
CSC-00085;charge;0.297;0;NA;NA;NA
CSC-00085;min;0.06;0;NA;NA;NA
CSC-00086;charge;0.2964;0;NA;NA;NA
CSC-00086;min;0.03;0;NA;NA;NA
CSC-00087;charge;0.2964;0;NA;NA;NA
CSC-00087;min;0.02;0;NA;NA;NA
CSC-00088;charge;0.2964;0;NA;NA;NA
CSC-00088;min;0.02;0;NA;NA;NA
CSC-00089;charge;0.2964;0;NA;NA;NA
CSC-00089;min;0.02;0;NA;NA;NA
CSC-00090;charge;0.2964;0;NA;NA;NA
CSC-00090;min;0.02;0;NA;NA;NA
CSC-00091;charge;0.2964;0;NA;NA;NA
CSC-00091;min;0.035;0;NA;NA;NA
CSC-00092;charge;0.2964;0;NA;NA;NA
CSC-00092;min;0.035;0;NA;NA;NA
CSC-00093;charge;0.297;0;NA;NA;NA
CSC-00093;kWh;0.07;0;NA;NA;NA
CSC-00093;min;0.09;0;NA;NA;NA
CSC-00094;charge;0.297;0;NA;NA;NA
CSC-00094;kWh;0.06;0;NA;NA;NA
CSC-00094;min;0.01;0;NA;NA;NA
CSC-00095;charge;0.297;0;NA;NA;NA
CSC-00095;kWh;0.06;0;NA;NA;NA
CSC-00095;min;0.01;0;NA;NA;NA
CSC-00098;charge;0.297;0;NA;NA;NA
CSC-00098;min;0.03;0;NA;NA;NA
CSC-00100;charge;0.2964;0;NA;NA;NA
CSC-00100;min;0.035;0;NA;NA;NA
CSC-00101;charge;0.297;0;NA;NA;NA
CSC-00101;kWh;0.07;0;NA;NA;NA
CSC-00101;min;0.09;0;NA;NA;NA
CSC-90002;min;0.015;0;NA;NA;NA
CSC-90003;min;0.009;0;NA;NA;NA
CSC-90004;min;0.004;0;NA;NA;NA
CSC-90006;min;0.004;0;NA;NA;NA
CSC-90007;min;0.0046;0;NA;NA;NA
CSC-90008;min;0.004;0;NA;NA;NA
CSC-90009;min;0.005;0;NA;NA;NA
CSC-90010;min;0.0046;0;NA;NA;NA
CSC-90012;min;0.0046;0;NA;NA;NA
CSC-90013;min;0.004;0;NA;NA;NA
CSC-90014;min;0.006;0;NA;NA;NA
CTB-00010;charge;0.3;0;NA;NA;NA
CTB-00010;min;0.035;0;NA;NA;NA
CTB-00011;charge;2.5;0;NA;NA;NA
CTB-00011;min;0;0;25;NA;NA
CTB-00011;min;0.1;25;NA;NA;NA
CTB-00012;charge;2.2;0;NA;NA;NA
CTB-00012;min;0;0;60;NA;NA
CTB-00012;min;0.036;60;NA;NA;NA
CTB-00013;charge;2.2;0;NA;NA;NA
CTB-00013;min;0;0;60;NA;NA
CTB-00013;min;0.036;60;NA;NA;NA
CTB-00014;min;0.08;0;NA;NA;NA
CTB-00015;charge;0.3;0;NA;NA;NA
CTB-00015;min;0.03;0;NA;NA;NA
CTB-00016;min;0.2;0;NA;NA;NA
CTB-00017;charge;0.297;0;NA;NA;NA
CTB-00017;min;0.06;0;NA;NA;NA
CTB-90001;min;0.01;0;NA;NA;NA
CTB-90002;min;0.006;0;NA;NA;NA
CTB-90003;min;0.009;0;NA;NA;NA
CTB-90004;min;0.009;0;NA;NA;NA
CTB-90005;min;0.006;0;NA;NA;NA
CTB-90006;min;0.0046;0;NA;NA;NA
CTB-90007;min;0.006;0;NA;NA;NA
CTM-00003;charge;0.7;0;NA;NA;NA
CTM-00003;kWh;0.04;0;NA;NA;NA
CTM-00003;min;0.04;0;NA;NA;NA
CTM-90001;min;0.025;0;NA;NA;NA
CTM-90002;min;0.02;0;NA;NA;NA
CTX-00003;charge;0.3;0;NA;NA;NA
CTX-00003;kWh;0.09;0;NA;NA;NA
CTX-00003;min;0.08;0;NA;NA;NA
CTX-90001;min;0.02;0;NA;NA;NA
CVD-90001;min;0.02;0;NA;NA;NA
CVL-00002;charge;0.3;0;NA;NA;NA
CVL-00002;min;0.1;0;NA;NA;NA
CVL-00003;charge;0.297;0;NA;NA;NA
CVL-00003;kWh;0.06;0;NA;NA;NA
CVL-00003;min;0.01;0;NA;NA;NA
CVL-00004;charge;0.297;0;NA;NA;NA
CVL-00004;kWh;0.06;0;NA;NA;NA
CVL-00004;min;0.01;0;NA;NA;NA
CVL-00005;charge;0.297;0;NA;NA;NA
CVL-00005;min;0.035;0;NA;NA;NA
CVL-90001;min;0.031;0;NA;NA;NA
CVR-00002;charge;0.2964;0;NA;NA;NA
CVR-00002;min;0.105;0;NA;NA;NA
CVR-00003;charge;0.2964;0;NA;NA;NA
CVR-00003;min;0.035;0;NA;NA;NA
CVR-90001;min;0.02;0;NA;NA;NA
ELV-00002;charge;0.297;0;NA;NA;NA
ELV-00002;kWh;0.06;0;NA;NA;NA
ELV-00002;min;0.01;0;NA;NA;NA
ELV-00003;charge;0.297;0;NA;NA;NA
ELV-00003;kWh;0.06;0;NA;NA;NA
ELV-00003;min;0.01;0;NA;NA;NA
ELV-00004;min;0.08;0;NA;NA;NA
ELV-90001;min;0.015;0;NA;NA;NA
ENT-00002;charge;0.297;0;NA;NA;NA
ENT-00002;min;0.1;0;NA;NA;NA
ENT-00003;charge;0.3;0;NA;NA;NA
ENT-00003;min;0.035;0;NA;NA;NA
ENT-00004;charge;0.3;0;NA;NA;NA
ENT-00004;min;0.1;0;NA;NA;NA
ENT-00005;charge;0.297;0;NA;NA;NA
ENT-00005;kWh;0.07;0;NA;NA;NA
ENT-00005;min;0.09;0;NA;NA;NA
ENT-90001;min;0.025;0;NA;NA;NA
EPS-00002;charge;0.297;0;NA;NA;NA
EPS-00002;min;0.06;0;NA;NA;NA
ESP-00002;min;0.08;0;NA;NA;NA
ESP-00003;min;0.02;0;NA;NA;NA
ESP-00004;charge;0.297;0;NA;NA;NA
ESP-00004;min;0.035;0;NA;NA;NA
ESP-00005;charge;0.297;0;NA;NA;NA
ESP-00005;min;0.06;0;NA;NA;NA
ESP-00006;charge;0.297;0;NA;NA;NA
ESP-00006;kWh;0.07;0;NA;NA;NA
ESP-00006;min;0.09;0;NA;NA;NA
ESP-90001;min;0.025;0;NA;NA;NA
ETR-00001;charge;0.297;0;NA;NA;NA
ETR-00001;min;0.1;0;NA;NA;NA
ETR-00002;charge;0.297;0;NA;NA;NA
ETR-00002;min;0.1;0;NA;NA;NA
ETR-00004;charge;0.2964;0;NA;NA;NA
ETR-00004;kWh;0.1;0;NA;NA;NA
ETR-00005;min;0.08;0;NA;NA;NA
ETR-00006;charge;0.3;0;NA;NA;NA
ETR-00006;min;0.1;0;NA;NA;NA
ETR-00007;charge;0.297;0;NA;NA;NA
ETR-00007;kWh;0.1;0;NA;NA;NA
ETR-00007;min;0.15;0;NA;NA;NA
ETR-00009;charge;0.166;0;NA;NA;NA
ETR-00009;kWh;0.1;0;NA;NA;NA
ETR-00009;min;0.15;0;NA;NA;NA
ETR-00010;charge;0.297;0;NA;NA;NA
ETR-00010;kWh;0.08;0;NA;NA;NA
ETR-00010;min;0.11;0;NA;NA;NA
ETR-00011;charge;0.297;0;NA;NA;NA
ETR-00011;kWh;0.08;0;NA;NA;NA
ETR-00011;min;0.11;0;NA;NA;NA
ETR-90003;min;0.025;0;NA;NA;NA
ETZ-00005;charge;0.2964;0;NA;NA;NA
ETZ-00005;min;0.03;0;NA;NA;NA
ETZ-00006;kWh;0.5121;0;NA;NA;NA
ETZ-00007;kWh;0.5121;0;NA;NA;NA
ETZ-00008;kWh;0.5121;0;NA;NA;NA
ETZ-00009;kWh;0.5121;0;NA;NA;NA
ETZ-00010;min;0.08;0;NA;NA;NA
ETZ-90001;min;0.02;0;NA;NA;NA
EVDA-00001;charge;1.3;0;NA;NA;NA
EVDA-00001;kWh;0.06;0;NA;NA;NA
EVDA-00002;charge;1.3;0;NA;NA;NA
EVDA-00002;kWh;0.06;0;NA;NA;NA
EVDA-00003;charge;1.3;0;NA;NA;NA
EVDA-00003;kWh;0.06;0;NA;NA;NA
EVR-00011;min;0.095;0;NA;NA;NA
EVR-00012;charge;0.297;0;NA;NA;NA
EVR-00012;kWh;0.06;0;NA;NA;NA
EVR-00012;min;0.01;0;NA;NA;NA
EVR-00013;charge;0.297;0;NA;NA;NA
EVR-00013;kWh;0.06;0;NA;NA;NA
EVR-00013;min;0.01;0;NA;NA;NA
EVR-00014;charge;0.297;0;NA;NA;NA
EVR-00014;kWh;0.06;0;NA;NA;NA
EVR-00014;min;0.01;0;NA;NA;NA
EVR-00015;charge;0.297;0;NA;NA;NA
EVR-00015;kWh;0.06;0;NA;NA;NA
EVR-00015;min;0.01;0;NA;NA;NA
EVR-00016;charge;0.5;0;NA;NA;NA
EVR-00016;min;0.03;0;NA;NA;NA
EVR-00017;min;0.08;0;NA;NA;NA
EVR-00018;charge;0.3;0;NA;NA;NA
EVR-00018;min;0.1;0;NA;NA;NA
EVR-00019;charge;0.3;0;NA;NA;NA
EVR-00019;min;0.035;0;NA;NA;NA
EVR-00021;charge;0.3;0;NA;NA;NA
EVR-00021;min;0.1;0;NA;NA;NA
EVR-90001;min;0.006;0;NA;NA;NA
EVR-90002;min;0.004;0;NA;NA;NA
EVR-90003;min;0.006;0;NA;NA;NA
EVR-90004;min;0.007;0;NA;NA;NA
EVR-90005;min;0.004;0;NA;NA;NA
EVR-90006;min;0.005;0;NA;NA;NA
EVR-90007;min;0.0037;0;NA;NA;NA
EVR-90008;min;0.004;0;NA;NA;NA
EVR-90009;min;0.004;0;NA;NA;NA
EXPO-00001;charge;0.2964;0;NA;NA;NA
EXPO-00001;min;0.03;0;NA;NA;NA
EXPO-00002;charge;0.2964;0;NA;NA;NA
EXPO-00002;min;0.03;0;NA;NA;NA
EXPO-00003;charge;0.2964;0;NA;NA;NA
EXPO-00003;min;0.03;0;NA;NA;NA
EXPO-00004;charge;0.2964;0;NA;NA;NA
EXPO-00004;min;0.03;0;NA;NA;NA
FAF-00003;min;0.09;0;NA;NA;NA
FAF-00004;min;0.05;0;NA;NA;NA
FAF-00005;charge;0.2964;0;NA;NA;NA
FAF-00005;min;0.07;0;NA;NA;NA
FAF-90001;kWh;0.1;0;NA;NA;NA
FAF-90002;min;0.031;0;NA;NA;NA
FAG-90001;min;0.02;0;NA;NA;NA
FAL-90001;min;0.02;0;NA;NA;NA
FAR-00009;charge;0.297;0;NA;NA;NA
FAR-00009;min;0.03;0;NA;NA;NA
FAR-00010;min;0.08;0;NA;NA;NA
FAR-00011;charge;0.297;0;NA;NA;NA
FAR-00011;min;0.12;0;NA;NA;NA
FAR-00012;charge;0.2964;0;NA;NA;NA
FAR-00012;min;0.055;0;NA;NA;NA
FAR-00013;charge;0.2964;0;NA;NA;NA
FAR-00013;min;0.055;0;NA;NA;NA
FAR-00014;charge;0.2964;0;NA;NA;NA
FAR-00014;min;0.025;0;NA;NA;NA
FAR-00019;charge;0.2964;0;NA;NA;NA
FAR-00019;min;0.03;0;NA;NA;NA
FAR-00021;charge;0.297;0;NA;NA;NA
FAR-00021;min;0.1;0;NA;NA;NA
FAR-00022;charge;0.297;0;NA;NA;NA
FAR-00022;kWh;0.06;0;NA;NA;NA
FAR-00022;min;0.01;0;NA;NA;NA
FAR-00023;charge;0.297;0;NA;NA;NA
FAR-00023;kWh;0.06;0;NA;NA;NA
FAR-00023;min;0.01;0;NA;NA;NA
FAR-00024;charge;0.3;0;NA;NA;NA
FAR-00024;min;0.125;0;NA;NA;NA
FAR-00025;charge;0.2964;0;NA;NA;NA
FAR-00025;min;0.015;0;NA;NA;NA
FAR-00026;charge;0.2964;0;NA;NA;NA
FAR-00026;min;0.025;0;NA;NA;NA
FAR-90001;min;0.0046;0;NA;NA;NA
FAR-90002;min;0.007;0;NA;NA;NA
FAR-90003;min;0.006;0;NA;NA;NA
FAR-90004;min;0.011;0;NA;NA;NA
FAR-90005;min;0.0037;0;NA;NA;NA
FAR-90006;min;0.009;0;NA;NA;NA
FAR-90007;min;0.004;0;NA;NA;NA
FAR-90008;min;0.015;0;NA;NA;NA
FCR-90001;min;0.02;0;NA;NA;NA
FCT-00003;charge;0.2964;0;NA;NA;NA
FCT-00003;min;0.03;0;NA;NA;NA
FCT-00004;charge;0.2964;0;NA;NA;NA
FCT-00004;min;0.03;0;NA;NA;NA
FEC-00002;charge;0.2964;0;NA;NA;NA
FEC-00002;min;0.015;0;NA;NA;NA
FEC-90001;min;0.031;0;NA;NA;NA
FEUP-00001;charge;0.2964;0;NA;NA;NA
FEUP-00001;min;0.105;0;NA;NA;NA
FEUP-00002;charge;0.2964;0;NA;NA;NA
FEUP-00002;min;0.105;0;NA;NA;NA
FIG-00002;charge;0.166;0;NA;NA;NA
FIG-00002;min;0.095;0;NA;NA;NA
FIG-00004;charge;0.3;0;NA;NA;NA
FIG-00004;min;0.1;0;NA;NA;NA
FIG-00005;charge;0.2964;0;NA;NA;NA
FIG-00005;min;0.015;0;NA;NA;NA
FIG-00006;min;0.08;0;NA;NA;NA
FIG-00011;charge;0.297;0;NA;NA;NA
FIG-00011;min;0.1;0;NA;NA;NA
FIG-00012;charge;0.3;0;NA;NA;NA
FIG-00012;min;0.1;0;NA;NA;NA
FIG-00013;charge;0.3;0;NA;NA;NA
FIG-00013;min;0.035;0;NA;NA;NA
FIG-00014;charge;0.2;0;NA;NA;NA
FIG-00014;kWh;0.09;0;NA;NA;NA
FIG-00015;charge;0.2964;0;NA;NA;NA
FIG-00015;min;0.09;0;NA;NA;NA
FIG-90003;min;0.031;0;NA;NA;NA
FLG-00003;min;0.08;0;NA;NA;NA
FLG-00004;min;0.02;0;NA;NA;NA
FLG-00006;charge;0.297;0;NA;NA;NA
FLG-00006;kWh;0.07;0;NA;NA;NA
FLG-00006;min;0.09;0;NA;NA;NA
FLG-00007;charge;0.297;0;NA;NA;NA
FLG-00007;kWh;0.07;0;NA;NA;NA
